(Angel Beats | Jun Maeda | Action, Drama, Supernatural | Shounen)
(Domestic Girlfriend | Kei Sasuga | Drama, Romance | Shounen)
(The Quintessential Quintuplets | Negi Haruba | Comedy, Harem, Romance | Shounen)
(Highschool Of The Dead | Daisuke Satou | Action, Ecchi, Terror | Shounen)
(High School DxD | Ichiei Ishibumi | Comedy, Ecchi, Harem | Supernatural | Shounen)
(Hyouka | Honobu Yonezawa | Mystery, Slice of Life | Shounen)
(Rent A Girlfriend | Reiji Miyajima | Comedy, Romance | Shounen)
(Kaguya-Sama: Love Is War | Aka Akasaka | Comedy, Romance, Slice Of Life | Seinen)
(Demon Slayer | Koyoharu Gotouge | Action, Historical, Supernatural | Shounen)
(Nisekoi | Naoshi Komi | Comedy, Harem, Romance | Shounen)
(Noragami | Adachitoka | Action, Adventures, Supernatural | Shounen)
(Rascal Does Not Dream of Bunny Girl Senpai | Hajime Kamoshida | Comedy, Romance | Seinen)
(Attack On Titan | Hajime Isayama | Action, Drama, Fantasy | Shounen)
(The Testament of Sister New Devil | Tetsuto Uesu | Ecchi, Fantasy, Harem | Shounen)
(My Dress-Up Darling | Shinichi Fukuda | Romance, Slice Of Life |  Seinen)
(Tokyou Ghoul | Sui Ishida | Drama, Supernatural, Terror | Seinen)
(The Apothecary Diaries | Natsu Hyuuga | Drama, Historical, Mystery | Seinen)
(Frieren | Kanehito Yamada | Adventures, Drama, Fantasy | Shounen)
(My favourite Idol | Aka Akasaka | Drama, Supernatural | Seinen)
(Chainsaw man | Tatsuki Fujimoto | Action, Supernatural | Shounen)
(Charlotte | Jun Maeda | Drama, Supernatural |  Seinen)
(Captain Tsubasa | Yoichi Takahashi | Action, Sports |  Kodomo)
(Doraemon | Fujiko Fujio | Comedy, Science Fiction | Kodomo)
(Fruits Basket | Natsuki Takaya | Fantasy, Romance, Slife Of Life | Shoujo)
(Toradora | Yuyuko Takemiya | Comedy, Romance Slice of Life | Shoujo)
(Kimi ni todoke | Karuho Shiina | Romance, Slice Of Life | Shoujo)
(Ore Monogatari | Kazune Kawahara | Comedy, Romance | Shoujo)
(Itazura Na Kiss | Kaoru Tada | Romance | Shoujo)
(Sailor Moon | Naoko Takeuchi | Fantasy, Romance | Shoujo)
(Chihayafuru |  Yuki Suetsugu  | Drama, Slice Of Life |  Josei)
(Paradise Kiss | Ai Yazawa | Comedy, Drama, Slice Of Life |  Josei)
(Wotaku: Love Is Hard for Otaku | Fujita | Comedy, Romance |  Josei)
(Bunny Drop | Yumi Unita | Slice of life |  Josei)
